DATE UBIT DURATION ACTIVITY & TOOL DESCRIPTION
2021/02/14 eriklich 1 hr 15 minutes setup github repo and played around with c
2021/02/16 eriklich 2 hr 46 minutes working on making 2d array
2021/02/18 eriklich 1 hr 22 minutes working on making 3d array 
2021/02/19 eriklich 4 hr working on making 3d array 
